"31.99979|-81.258013"
"41.396587|-89.462832"
"40.744902|-99.742518"
"34.857024|-82.453847"
"34.822652|-82.28115"
"35.087204|-81.665835"
"34.701157|-79.931271"
"33.7872622|-78.7684707"
"34.487945|-82.678139"
"42.024062|-97.445242"
"42.099218|-91.264296"
"41.721997|-92.730837"
"31.212801|-81.485464"
"36.860033|-82.7574731"
"38.745103|-90.588571"
"28.555379|-80.842668"
"30.12284|-94.16742"
"36.83001|-87.46925"
"37.986336|-100.836526"
"35.513194|-86.452061"
"37.325152|-87.473071"
"36.14509|-85.496886"
"34.275423|-85.229825"
"36.131739|-86.907819"
"34.74765|-87.673673"
"34.78855|-86.958843"
"35.4528545|-84.6315904"
"37.345868|-85.373597"
"34.556416|-86.995956"
"27.513088|-81.497158"
"38.903229|-99.32125"
"35.69885|-85.788267"
"35.38984|-86.239908"
"36.191829|-86.290925"
"34.76783|-84.92994"
"34.14914|-86.842052"
"36.594714|-87.29121"
"35.771244|-83.99179"
"36.376943|-86.476816"
"35.943773|-83.21225"
"35.879877|-84.657694"
"34.299429|-86.27903"
"36.413982|-89.080451"
"36.063412|-89.391879"
"35.850374|-86.427837"
"35.27339|-87.314905"
"36.18768|-82.759393"
"35.654492|-88.411623"
"36.213757|-83.255027"
"36.041872|-86.709067"
"35.983311|-85.035712"
"36.349209|-82.245352"
"34.440216|-85.76195"
"31.689946|-83.248393"
"37.068529|-84.623456"
"37.551571|-83.3603119"
"37.614603|-84.77169"
"29.157851|-82.166304"
"37.655094|-82.781844"
"37.856106|-87.566169"
"35.20219|-84.848963"
"34.359626|-89.5645"
"36.3088479|-86.6862916"
"32.434137|-87.012949"
"37.719915|-87.121914"
"37.987629|-84.211027"
"30.075827|-95.624787"
"28.269612|-82.191192"
"28.817694|-81.672892"
"34.180894|-90.59052"
"36.216541|-86.600684"
"32.307876|-90.891281"
"37.732984|-85.881905"
"34.668517|-86.006085"
"28.342241|-82.185616"
"37.020959|-85.937747"
"34.555559|-90.650674"
"33.165251|-87.518548"
"28.060008|-81.816058"
"37.728608|-84.282905"
"33.529992|-90.221433"
"33.5432197|-85.0772931"
"38.160484|-84.899243"
"31.780755|-85.939323"
"36.128856|-83.467823"
"28.125998|-81.636723"
"27.013882|-82.139704"
"34.0463802|-85.239825"
"32.941317|-85.975832"
"32.211604|-80.728675"
"37.799907|-85.436761"
"32.835031|-85.178726"
"33.1759079|-86.2854032"
"36.84596|-86.916529"
"32.493003|-87.849349"
"35.47119|-86.791446"
"35.217716|-86.104138"
"31.3159|-85.826397"
"36.088711|-88.108643"
"31.4452218|-85.6507187"
"36.62223|-83.707611"
"35.3890064|-97.5108881"
"35.822085|-84.26463"
"29.995677|-95.176444"
"31.066215|-97.367149"
"33.553185|-84.25538"
"38.556061|-90.166315"
"42.052095|-93.62269"
"42.451983|-91.893435"
"41.412763|-92.933536"
"41.697155|-93.011703"
"29.646612|-95.161375"
"36.557421|-82.603161"
"34.521761|-85.316582"
"35.159637|-101.923511"
"28.937858|-98.512452"
"32.060471|-84.202197"
"37.7679224|-86.4434498"
"27.56845|-81.813029"
"33.590204|-86.70022"
"29.59176|-98.355813"
"33.361719|-87.001921"
"42.486885|-92.440012"
"29.691111|-90.554241"
"34.834244|-87.625236"
"32.4341545|-81.759548"
"27.047596|-82.395816"
"29.789113|-95.72222"
"30.181352|-82.677537"
"29.721342|-95.647396"
"28.359625|-80.668453"
"38.358995|-98.7872"
"30.491529|-92.446893"
"41.441249|-97.31708"
"30.0905|-93.765381"
"26.893357|-82.013378"
"40.981605|-90.359891"
"30.599475|-98.271812"
"33.798413|-83.742318"
"28.000741|-81.959531"
"39.753883|-92.463896"
"29.235156|-99.754271"
"40.978989|-91.541832"
"33.562448|-84.410314"
"31.688927|-88.629411"
"41.453353|-96.457539"
"35.5668534|-92.4544415"
"32.788794|-96.599162"
"40.198728|-100.652337"
"41.197904|-90.731953"
"27.769731|-98.043504"
"34.998002|-101.922569"
"38.070078|-97.892255"
"41.373026|-89.122745"
"33.238248|-81.392282"
"39.415132|-87.690846"
"40.814269|-91.160892"
"37.066998|-100.916934"
"41.949345|-88.72142"
"28.842541|-81.898976"
"40.330026|-94.870115"
"42.6095957|-89.6635797"
"30.793589|-89.865094"
"32.813849|-98.086147"
"32.842692|-97.24635"
"29.045462|-95.459088"
"38.510098|-90.438772"
"33.599042|-85.832144"
"32.314746|-106.749837"
"43.1455271|-93.2624869"
"31.731877|-98.981832"
"27.206591|-81.829165"
"35.840033|-101.970763"
"27.221482|-80.827943"
"30.180329|-85.804881"
"38.14942|-92.616012"
"28.301788|-81.458955"
"26.62088|-81.937051"
"38.951369|-92.739689"
"31.582156|-90.468421"
"34.437698|-103.200403"
"35.18974|-101.793388"
"36.741209|-97.07183"
"37.549096|-84.648138"
"36.767974|-108.15152"
"35.144791|-106.549888"
"39.71151|-86.367633"
"32.543138|-95.854291"
"41.763311|-89.687013"
"35.652385|-105.999816"
"30.778436|-81.618596"
"32.6254|-83.64289"
"36.134924|-96.120347"
"38.073728|-88.190385"
"35.079638|-106.52942"
"36.524878|-91.53274"
"41.783448|-91.126052"
"38.313974|-104.60963"
"31.23577|-84.198478"
"41.384538|-88.417167"
"35.076253|-106.587623"
